TSC Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,TSC_CCS Type,Latest Update Date
FSS-FBS-2014-1.1,Food Services,Food and Beverage Operations,Malay Moist-Heat Dish Preparation and Cooking,Prepare and present standard and complex Malay moist-heat dishes,tsc,2024-12-16
FSS-FBS-3014-1.1,Food Services,Food and Beverage Operations,Malay Moist-Heat Dish Preparation and Cooking,Prepare and present standard and complex Malay moist-heat dishes,tsc,2024-12-16
FSS-FBS-1014-1.1,Food Services,Food and Beverage Operations,Malay Moist-Heat Dish Preparation and Cooking,Prepare and present standard and complex Malay moist-heat dishes,tsc,2024-12-16
FSS-FBS-3015-1.1,Food Services,Food and Beverage Operations,Meat Storage and Fabrication,"Apply the principles of identifying, storing, and fabricating of meat and poultry for food service operations",tsc,2024-12-16
FSS-FBS-1015-1.1,Food Services,Food and Beverage Operations,Meat Storage and Fabrication,"Apply the principles of identifying, storing, and fabricating of meat and poultry for food service operations",tsc,2024-12-16
FSS-FBS-2015-1.1,Food Services,Food and Beverage Operations,Meat Storage and Fabrication,"Apply the principles of identifying, storing, and fabricating of meat and poultry for food service operations",tsc,2024-12-16
FSS-FBS-4016-1.1,Food Services,Food and Beverage Operations,Non-Alcoholic Beverage Preparation,Prepare and serve standard and non-standard non-alcoholic beverages,tsc,2024-12-16
FSS-FBS-2016-1.1,Food Services,Food and Beverage Operations,Non-Alcoholic Beverage Preparation,Prepare and serve standard and non-standard non-alcoholic beverages,tsc,2024-12-16
FSS-FBS-3016-1.1,Food Services,Food and Beverage Operations,Non-Alcoholic Beverage Preparation,Prepare and serve standard and non-standard non-alcoholic beverages,tsc,2024-12-16
FSS-FBS-1017-1.1,Food Services,Food and Beverage Operations,Pastry Preparation,"Bake pastry products that range from basic, intermediate to advanced pastry-based confectioneries",tsc,2024-12-16
FSS-FBS-4017-1.1,Food Services,Food and Beverage Operations,Pastry Preparation,"Bake pastry products that range from basic, intermediate to advanced pastry-based confectioneries",tsc,2024-12-16
FSS-FBS-2017-1.1,Food Services,Food and Beverage Operations,Pastry Preparation,"Bake pastry products that range from basic, intermediate to advanced pastry-based confectioneries",tsc,2024-12-16
FSS-FBS-3017-1.1,Food Services,Food and Beverage Operations,Pastry Preparation,"Bake pastry products that range from basic, intermediate to advanced pastry-based confectioneries",tsc,2024-12-16
FSS-FBS-2018-1.1,Food Services,Food and Beverage Operations,Seafood Storage and Fabrication,"Apply the principles of identifying, storing, and fabricating of seafood for food service operations",tsc,2024-12-16
FSS-FBS-3018-1.1,Food Services,Food and Beverage Operations,Seafood Storage and Fabrication,"Apply the principles of identifying, storing, and fabricating of seafood for food service operations",tsc,2024-12-16
FSS-FBS-1018-1.1,Food Services,Food and Beverage Operations,Seafood Storage and Fabrication,"Apply the principles of identifying, storing, and fabricating of seafood for food service operations",tsc,2024-12-16
FSS-FBS-3019-1.1,Food Services,Food and Beverage Operations,Specialty Cuisine Preparation and Cooking,Prepare and present standard and complex specialty cuisine dishes,tsc,2024-12-16
FSS-FBS-2019-1.1,Food Services,Food and Beverage Operations,Specialty Cuisine Preparation and Cooking,Prepare and present standard and complex specialty cuisine dishes,tsc,2024-12-16
FSS-FBS-1019-1.1,Food Services,Food and Beverage Operations,Specialty Cuisine Preparation and Cooking,Prepare and present standard and complex specialty cuisine dishes,tsc,2024-12-16
FSS-FBS-2020-1.1,Food Services,Food and Beverage Operations,Western Cold Dish Preparation,Prepare and present Western cold dishes,tsc,2024-12-16
FSS-FBS-1020-1.1,Food Services,Food and Beverage Operations,Western Cold Dish Preparation,Prepare and present Western cold dishes,tsc,2024-12-16
FSS-FBS-2021-1.1,Food Services,Food and Beverage Operations,Western Dry-Heat Dish Preparation and Cooking,Prepare and present standard and complex Western dry-heat dishes,tsc,2024-12-16
FSS-FBS-3021-1.1,Food Services,Food and Beverage Operations,Western Dry-Heat Dish Preparation and Cooking,Prepare and present standard and complex Western dry-heat dishes,tsc,2024-12-16
FSS-FBS-1021-1.1,Food Services,Food and Beverage Operations,Western Dry-Heat Dish Preparation and Cooking,Prepare and present standard and complex Western dry-heat dishes,tsc,2024-12-16
FSS-FBS-1022-1.1,Food Services,Food and Beverage Operations,Western Moist-Heat Dish Preparation and Cooking,Prepare and present standard and complex Western moist-heat dishes,tsc,2024-12-16
FSS-FBS-2022-1.1,Food Services,Food and Beverage Operations,Western Moist-Heat Dish Preparation and Cooking,Prepare and present standard and complex Western moist-heat dishes,tsc,2024-12-16
FSS-FBS-3022-1.1,Food Services,Food and Beverage Operations,Western Moist-Heat Dish Preparation and Cooking,Prepare and present standard and complex Western moist-heat dishes,tsc,2024-12-16
FSS-FBS-2023-1.1,Food Services,Food and Beverage Operations,Wine Service,"Present, serve, and provide recommendations on wines from various provenances",tsc,2024-12-16
FSS-FBS-3023-1.1,Food Services,Food and Beverage Operations,Wine Service,"Present, serve, and provide recommendations on wines from various provenances",tsc,2024-12-16
FSS-FBS-4023-1.1,Food Services,Food and Beverage Operations,Wine Service,"Present, serve, and provide recommendations on wines from various provenances",tsc,2024-12-16
FSS-RIM-6036-1.1,Food Services,General Management,Business Analysis Management,"Execute business impact analysis, risk analysis, testing and exercising to ensure the currency of the organisation's business continuity plans",tsc,2024-12-16
FSS-RIM-4036-1.1,Food Services,General Management,Business Analysis Management,"Execute business impact analysis, risk analysis, testing and exercising to ensure the currency of the organisation's business continuity plans",tsc,2024-12-16
FSS-RIM-5036-1.1,Food Services,General Management,Business Analysis Management,"Execute business impact analysis, risk analysis, testing and exercising to ensure the currency of the organisation's business continuity plans",tsc,2024-12-16
FSS-BIN-2104-1.1,Food Services,Infocomm Technology,Data Analytics,"Implement data analytics within the organisation to generate business insights and intelligence through the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation",tsc,2024-12-16
FSS-BIN-4104-1.1,Food Services,Infocomm Technology,Data Analytics,"Implement data analytics within the organisation to generate business insights and intelligence through the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation",tsc,2024-12-16
FSS-BIN-5104-1.1,Food Services,Infocomm Technology,Data Analytics,"Implement data analytics within the organisation to generate business insights and intelligence through the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation",tsc,2024-12-16
FSS-BIN-3104-1.1,Food Services,Infocomm Technology,Data Analytics,"Implement data analytics within the organisation to generate business insights and intelligence through the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation",tsc,2024-12-16
FSS-SNA-3024-1.1,Food Services,Infocomm Technology,Emerging Technology Scanning,Review new developments in emerging technology to determine their relevance to the organisation,tsc,2024-12-16
FSS-SNA-6024-1.1,Food Services,Infocomm Technology,Emerging Technology Scanning,Review new developments in emerging technology to determine their relevance to the organisation,tsc,2024-12-16
FSS-SNA-5024-1.1,Food Services,Infocomm Technology,Emerging Technology Scanning,Review new developments in emerging technology to determine their relevance to the organisation,tsc,2024-12-16
FSS-SNA-4024-1.1,Food Services,Infocomm Technology,Emerging Technology Scanning,Review new developments in emerging technology to determine their relevance to the organisation,tsc,2024-12-16
FSS-SNA-2024-1.1,Food Services,Infocomm Technology,Emerging Technology Scanning,Review new developments in emerging technology to determine their relevance to the organisation,tsc,2024-12-16
FSS-ICT-4002-1.1-1,Food Services,Infocomm Technology,Information and Communication Technology Disaster Recovery Management,"Develop, evaluate and refine policies and processes to guide recovery of critical Information Technology infrastructure and systems following a crisis or disaster",tsc,2024-12-16
FSS-ICT-3002-1.1-1,Food Services,Infocomm Technology,Information and Communication Technology Disaster Recovery Management,"Develop, evaluate and refine policies and processes to guide recovery of critical Information Technology infrastructure and systems following a crisis or disaster",tsc,2024-12-16
FSS-ICT-2002-1.1,Food Services,Infocomm Technology,Information and Communication Technology Disaster Recovery Management,"Develop, evaluate and refine policies and processes to guide recovery of critical Information Technology infrastructure and systems following a crisis or disaster",tsc,2024-12-16
FSS-ICT-5002-1.1-1,Food Services,Infocomm Technology,Information and Communication Technology Disaster Recovery Management,"Develop, evaluate and refine policies and processes to guide recovery of critical Information Technology infrastructure and systems following a crisis or disaster",tsc,2024-12-16
FSS-SNA-2025-1.1,Food Services,Infocomm Technology,Technology Application and Implementation,Integrate technologies into operations of the organisation to optimise efficiency and effectiveness of processes,tsc,2024-12-16
FSS-SNA-3025-1.1,Food Services,Infocomm Technology,Technology Application and Implementation,Integrate technologies into operations of the organisation to optimise efficiency and effectiveness of processes,tsc,2024-12-16
FSS-SNA-4025-1.1,Food Services,Infocomm Technology,Technology Application and Implementation,Integrate technologies into operations of the organisation to optimise efficiency and effectiveness of processes,tsc,2024-12-16
FSS-SNA-4026-1.1,Food Services,Infocomm Technology,Technology Strategy Design,Formulate organisation's strategic directions for technology adoption,tsc,2024-12-16
FSS-SNA-6026-1.1,Food Services,Infocomm Technology,Technology Strategy Design,Formulate organisation's strategic directions for technology adoption,tsc,2024-12-16
FSS-SNA-5026-1.1,Food Services,Infocomm Technology,Technology Strategy Design,Formulate organisation's strategic directions for technology adoption,tsc,2024-12-16
FSS-PIN-5022-1.1,Food Services,Innovation,Food and Beverage Recipe Formulation,Innovate new food products through the creation and refinement of recipes,tsc,2024-12-16
FSS-PIN-3022-1.1,Food Services,Innovation,Food and Beverage Recipe Formulation,Innovate new food products through the creation and refinement of recipes,tsc,2024-12-16
FSS-PIN-4022-1.1,Food Services,Innovation,Food and Beverage Recipe Formulation,Innovate new food products through the creation and refinement of recipes,tsc,2024-12-16
FSS-PIN-4011-1.1,Food Services,Innovation,Idea Generation and Selection,"Facilitate discussions, seek opinions from others, brainstorm ideas to realise business opportunities and improve current working conditions",tsc,2024-12-16
FSS-PIN-2011-1.1,Food Services,Innovation,Idea Generation and Selection,"Facilitate discussions, seek opinions from others, brainstorm ideas to realise business opportunities and improve current working conditions",tsc,2024-12-16
FSS-PIN-3011-1.1,Food Services,Innovation,Idea Generation and Selection,"Facilitate discussions, seek opinions from others, brainstorm ideas to realise business opportunities and improve current working conditions",tsc,2024-12-16
FSS-PIN-5024-1.1,Food Services,Innovation,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",tsc,2024-12-16
FSS-PIN-4024-1.1,Food Services,Innovation,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",tsc,2024-12-16
FSS-PIN-6024-1.1,Food Services,Innovation,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",tsc,2024-12-16
FSS-PIN-3024-1.1,Food Services,Innovation,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",tsc,2024-12-16
FSS-PIN-6023-1.1,Food Services,Innovation,Productivity Optimisation for Food and Beverages Operations,"Drive work area process goals, job specifications and workplace requirements for productivity initiatives, to evaluate work area processes for problems and identify areas for improvement",tsc,2024-12-16
FSS-PIN-4023-1.1,Food Services,Innovation,Productivity Optimisation for Food and Beverages Operations,"Drive work area process goals, job specifications and workplace requirements for productivity initiatives, to evaluate work area processes for problems and identify areas for improvement",tsc,2024-12-16
FSS-PIN-1023-1.1,Food Services,Innovation,Productivity Optimisation for Food and Beverages Operations,"Drive work area process goals, job specifications and workplace requirements for productivity initiatives, to evaluate work area processes for problems and identify areas for improvement",tsc,2024-12-16
FSS-PIN-5023-1.1,Food Services,Innovation,Productivity Optimisation for Food and Beverages Operations,"Drive work area process goals, job specifications and workplace requirements for productivity initiatives, to evaluate work area processes for problems and identify areas for improvement",tsc,2024-12-16
FSS-PIN-3023-1.1,Food Services,Innovation,Productivity Optimisation for Food and Beverages Operations,"Drive work area process goals, job specifications and workplace requirements for productivity initiatives, to evaluate work area processes for problems and identify areas for improvement",tsc,2024-12-16
FSS-PIN-2023-1.1,Food Services,Innovation,Productivity Optimisation for Food and Beverages Operations,"Drive work area process goals, job specifications and workplace requirements for productivity initiatives, to evaluate work area processes for problems and identify areas for improvement",tsc,2024-12-16
FSS-SPI-5012-1.1,Food Services,Innovation,Sustainable Food Production Design,"Design and implement sustainable food production policies, processes and initiatives within the organisation",tsc,2024-12-16
FSS-SPI-6012-1.1,Food Services,Innovation,Sustainable Food Production Design,"Design and implement sustainable food production policies, processes and initiatives within the organisation",tsc,2024-12-16
FSS-SPI-3012-1.1,Food Services,Innovation,Sustainable Food Production Design,"Design and implement sustainable food production policies, processes and initiatives within the organisation",tsc,2024-12-16
FSS-SPI-4012-1.1,Food Services,Innovation,Sustainable Food Production Design,"Design and implement sustainable food production policies, processes and initiatives within the organisation",tsc,2024-12-16
FSS-SPI-5013-1.1,Food Services,Innovation,System and Work Process Improvement,"Evaluate strategic and longer-term impacts of change and improvement processes with communications to employees on the improvement plans, goals and changes to operational procedures",tsc,2024-12-16
FSS-SPI-3013-1.1,Food Services,Innovation,System and Work Process Improvement,"Evaluate strategic and longer-term impacts of change and improvement processes with communications to employees on the improvement plans, goals and changes to operational procedures",tsc,2024-12-16
FSS-SPI-1013-1.1,Food Services,Innovation,System and Work Process Improvement,"Evaluate strategic and longer-term impacts of change and improvement processes with communications to employees on the improvement plans, goals and changes to operational procedures",tsc,2024-12-16
FSS-SPI-4013-1.1,Food Services,Innovation,System and Work Process Improvement,"Evaluate strategic and longer-term impacts of change and improvement processes with communications to employees on the improvement plans, goals and changes to operational procedures",tsc,2024-12-16
FSS-SPI-2013-1.1,Food Services,Innovation,System and Work Process Improvement,"Evaluate strategic and longer-term impacts of change and improvement processes with communications to employees on the improvement plans, goals and changes to operational procedures",tsc,2024-12-16
FSS-ACE-5007-1.1,Food Services,Innovation,Systems Thinking Application,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on value-creation and contribution to specific issues",tsc,2024-12-20
FSS-ACE-2007-1.1,Food Services,Innovation,Systems Thinking Application,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on value-creation and contribution to specific issues",tsc,2024-12-20
FSS-ACE-4007-1.1,Food Services,Innovation,Systems Thinking Application,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on value-creation and contribution to specific issues",tsc,2024-12-20
FSS-ACE-3007-1.1,Food Services,Innovation,Systems Thinking Application,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on value-creation and contribution to specific issues",tsc,2024-12-20
FSS-LPM-5002-1.1,Food Services,Leadership and People Management,Vision Leadership,"Articulate clear, inspiring organisational goals, plans and priorities, as well as, display behavioural characteristics within the workplace in accordance to organisational values",tsc,2024-12-16
FSS-LPM-4002-1.1,Food Services,Leadership and People Management,Vision Leadership,"Articulate clear, inspiring organisational goals, plans and priorities, as well as, display behavioural characteristics within the workplace in accordance to organisational values",tsc,2024-12-16
FSS-LPM-3002-1.1,Food Services,Leadership and People Management,Vision Leadership,"Articulate clear, inspiring organisational goals, plans and priorities, as well as, display behavioural characteristics within the workplace in accordance to organisational values",tsc,2024-12-16
FSS-LPM-6002-1.1,Food Services,Leadership and People Management,Vision Leadership,"Articulate clear, inspiring organisational goals, plans and priorities, as well as, display behavioural characteristics within the workplace in accordance to organisational values",tsc,2024-12-16
FSS-CFC-6054-1.1,Food Services,Personal Management and Development,Board Membership,Manage relationships with board members and participate in policy development initiatives to maximise shareholders' value,tsc,2024-12-16
FSS-CFC-4037-1.1,Food Services,Personal Management and Development,Business Stakeholder Management,Establish mutually beneficial relationships with business partners and stakeholders including potential customers and financing partners,tsc,2024-12-16
FSS-CFC-5037-1.1,Food Services,Personal Management and Development,Business Stakeholder Management,Establish mutually beneficial relationships with business partners and stakeholders including potential customers and financing partners,tsc,2024-12-16
FSS-CFC-6037-1.1,Food Services,Personal Management and Development,Business Stakeholder Management,Establish mutually beneficial relationships with business partners and stakeholders including potential customers and financing partners,tsc,2024-12-16
FSS-CFC-3037-1.1,Food Services,Personal Management and Development,Business Stakeholder Management,Establish mutually beneficial relationships with business partners and stakeholders including potential customers and financing partners,tsc,2024-12-16
FSS-BIN-2008-1.1,Food Services,Personal Management and Development,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
FSS-BIN-6008-1.1,Food Services,Personal Management and Development,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
FSS-BIN-4008-1.1,Food Services,Personal Management and Development,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
FSS-BIN-5008-1.1,Food Services,Personal Management and Development,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
FSS-BIN-3008-1.1,Food Services,Personal Management and Development,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc,2024-12-16
FSS-BIN-5018-1.1,Food Services,Personal Management and Development,Conflict Resolution,"Resolve conflicts by evaluating and implementing resolution approaches, analysing mediation outcomes and finding solutions",tsc,2024-12-16
FSS-BIN-4018-1.1,Food Services,Personal Management and Development,Conflict Resolution,"Resolve conflicts by evaluating and implementing resolution approaches, analysing mediation outcomes and finding solutions",tsc,2024-12-16
FSS-BIN-6018-1.1,Food Services,Personal Management and Development,Conflict Resolution,"Resolve conflicts by evaluating and implementing resolution approaches, analysing mediation outcomes and finding solutions",tsc,2024-12-16
FSS-PDV-3002-1.1,Food Services,Personal Management and Development,Effectiveness Management,Set goals with team and evaluate team's effectiveness in achieving the defined goals and objectives,tsc,2024-12-16
FSS-PDV-4002-1.1,Food Services,Personal Management and Development,Effectiveness Management,Set goals with team and evaluate team's effectiveness in achieving the defined goals and objectives,tsc,2024-12-16
FSS-PDV-5002-1.2,Food Services,Personal Management and Development,Effectiveness Management,Set goals with team and evaluate team's effectiveness in achieving the defined goals and objectives,tsc,2024-12-16
FSS-PDV-3007-1.1,Food Services,Personal Management and Development,Learning and Development,Manage employees' learning and development activities to maximise employees' potential and capabilities to contribute to the organisation,tsc,2024-12-16
FSS-PDV-4007-1.1,Food Services,Personal Management and Development,Learning and Development,Manage employees' learning and development activities to maximise employees' potential and capabilities to contribute to the organisation,tsc,2024-12-16
FSS-PDV-2007-1.1,Food Services,Personal Management and Development,Learning and Development,Manage employees' learning and development activities to maximise employees' potential and capabilities to contribute to the organisation,tsc,2024-12-16
FSS-PDV-5007-1.1,Food Services,Personal Management and Development,Learning and Development,Manage employees' learning and development activities to maximise employees' potential and capabilities to contribute to the organisation,tsc,2024-12-16
FSS-PDV-6007-1.1,Food Services,Personal Management and Development,Learning and Development,Manage employees' learning and development activities to maximise employees' potential and capabilities to contribute to the organisation,tsc,2024-12-16
FSS-PDV-4011-1.1,Food Services,Personal Management and Development,Organisational Relationship Building,"Influence and facilitate positive working relationships, promote workplace diversity and cultivate a culture of open communication within the organisation",tsc,2024-12-16
FSS-PDV-3011-1.1,Food Services,Personal Management and Development,Organisational Relationship Building,"Influence and facilitate positive working relationships, promote workplace diversity and cultivate a culture of open communication within the organisation",tsc,2024-12-16
FSS-PDV-6011-1.1,Food Services,Personal Management and Development,Organisational Relationship Building,"Influence and facilitate positive working relationships, promote workplace diversity and cultivate a culture of open communication within the organisation",tsc,2024-12-16
FSS-PDV-5011-1.1,Food Services,Personal Management and Development,Organisational Relationship Building,"Influence and facilitate positive working relationships, promote workplace diversity and cultivate a culture of open communication within the organisation",tsc,2024-12-16
FSS-BIN-3127-1.1,Food Services,Personal Management and Development,People Change Management,Drive and facilitate change management processes within the organisation which includes innovation and continuous improvement,tsc,2024-12-16
FSS-BIN-5127-1.1,Food Services,Personal Management and Development,People Change Management,Drive and facilitate change management processes within the organisation which includes innovation and continuous improvement,tsc,2024-12-16
FSS-BIN-6127-1.1,Food Services,Personal Management and Development,People Change Management,Drive and facilitate change management processes within the organisation which includes innovation and continuous improvement,tsc,2024-12-16
FSS-BIN-4127-1.1,Food Services,Personal Management and Development,People Change Management,Drive and facilitate change management processes within the organisation which includes innovation and continuous improvement,tsc,2024-12-16
FSS-PDV-3009-1.1,Food Services,Personal Management and Development,People Development,"Build a healthy pipeline of talent pool within the organisation, review talent capabilities, identify skill needs and encourage personal learning and development",tsc,2024-12-16
FSS-PDV-5009-1.1,Food Services,Personal Management and Development,People Development,"Build a healthy pipeline of talent pool within the organisation, review talent capabilities, identify skill needs and encourage personal learning and development",tsc,2024-12-16
FSS-PDV-4009-1.1,Food Services,Personal Management and Development,People Development,"Build a healthy pipeline of talent pool within the organisation, review talent capabilities, identify skill needs and encourage personal learning and development",tsc,2024-12-16
FSS-PDV-6009-1.1,Food Services,Personal Management and Development,People Development,"Build a healthy pipeline of talent pool within the organisation, review talent capabilities, identify skill needs and encourage personal learning and development",tsc,2024-12-16
FSS-PDV-5045-1.1,Food Services,Personal Management and Development,People Management,"Manage the staffing, recruitment, performance and development of staff",tsc,2024-12-16
FSS-PDV-6045-1.1,Food Services,Personal Management and Development,People Management,"Manage the staffing, recruitment, performance and development of staff",tsc,2024-12-16
FSS-PDV-4045-1.1,Food Services,Personal Management and Development,People Management,"Manage the staffing, recruitment, performance and development of staff",tsc,2024-12-16
FSS-PDV-3045-1.1,Food Services,Personal Management and Development,People Management,"Manage the staffing, recruitment, performance and development of staff",tsc,2024-12-16
FSS-PDV-2045-1.1,Food Services,Personal Management and Development,People Management,"Manage the staffing, recruitment, performance and development of staff",tsc,2024-12-16
FSS-PDV-5012-1.1,Food Services,Personal Management and Development,Personal Effectiveness,Demonstrate self-awareness and commit to personal development by capitalising individual strengths and seeking ways to address weaknesses,tsc,2024-12-16
FSS-PDV-3012-1.1,Food Services,Personal Management and Development,Personal Effectiveness,Demonstrate self-awareness and commit to personal development by capitalising individual strengths and seeking ways to address weaknesses,tsc,2024-12-16
FSS-PDV-6012-1.1,Food Services,Personal Management and Development,Personal Effectiveness,Demonstrate self-awareness and commit to personal development by capitalising individual strengths and seeking ways to address weaknesses,tsc,2024-12-16
FSS-PDV-4012-1.1,Food Services,Personal Management and Development,Personal Effectiveness,Demonstrate self-awareness and commit to personal development by capitalising individual strengths and seeking ways to address weaknesses,tsc,2024-12-16
FSS-PDV-6053-1.1,Food Services,Personal Management and Development,Personal Performance Management,Demonstrate self-awareness of one's personal development by capitalising on strengths and seeking for improvements to address weaknesses,tsc,2024-12-16
FSS-PDV-5053-1.1,Food Services,Personal Management and Development,Personal Performance Management,Demonstrate self-awareness of one's personal development by capitalising on strengths and seeking for improvements to address weaknesses,tsc,2024-12-16
FSS-PDV-4053-1.1,Food Services,Personal Management and Development,Personal Performance Management,Demonstrate self-awareness of one's personal development by capitalising on strengths and seeking for improvements to address weaknesses,tsc,2024-12-16
FSS-PDV-3053-1.1,Food Services,Personal Management and Development,Personal Performance Management,Demonstrate self-awareness of one's personal development by capitalising on strengths and seeking for improvements to address weaknesses,tsc,2024-12-16
FSS-CFC-3030-1.1,Food Services,Personal Management and Development,Stakeholder Management,Build and maintain constructive relationships with stakeholders to move the organisation toward its business goals,tsc,2024-12-16
FSS-CFC-5030-1.1,Food Services,Personal Management and Development,Stakeholder Management,Build and maintain constructive relationships with stakeholders to move the organisation toward its business goals,tsc,2024-12-16
FSS-CFC-4030-1.1,Food Services,Personal Management and Development,Stakeholder Management,Build and maintain constructive relationships with stakeholders to move the organisation toward its business goals,tsc,2024-12-16
FSS-PDV-4054-1.1,Food Services,Personal Management and Development,Workforce Diversity and Inclusion,Develop and implement strategies that support diversity and cross-cultural cooperation within the workplace,tsc,2024-12-16
FSS-PDV-5054-1.1,Food Services,Personal Management and Development,Workforce Diversity and Inclusion,Develop and implement strategies that support diversity and cross-cultural cooperation within the workplace,tsc,2024-12-16
FSS-PDV-6054-1.1,Food Services,Personal Management and Development,Workforce Diversity and Inclusion,Develop and implement strategies that support diversity and cross-cultural cooperation within the workplace,tsc,2024-12-16
FSS-PDV-3054-1.1,Food Services,Personal Management and Development,Workforce Diversity and Inclusion,Develop and implement strategies that support diversity and cross-cultural cooperation within the workplace,tsc,2024-12-16
FSS-PNI-5010-1.1,Food Services,Planning and Implementation,Operational Planning,"Translate organisational vision, mission and values into business operational plans as well as to review outcomes for continuous improvements",tsc,2024-12-16
FSS-PNI-6010-1.1,Food Services,Planning and Implementation,Operational Planning,"Translate organisational vision, mission and values into business operational plans as well as to review outcomes for continuous improvements",tsc,2024-12-16
FSS-PNI-4010-1.1,Food Services,Planning and Implementation,Operational Planning,"Translate organisational vision, mission and values into business operational plans as well as to review outcomes for continuous improvements",tsc,2024-12-16
FSS-PNI-3010-1.1,Food Services,Planning and Implementation,Operational Planning,"Translate organisational vision, mission and values into business operational plans as well as to review outcomes for continuous improvements",tsc,2024-12-16
FSS-PMT-5007-1.1,Food Services,Project Management,Project After Action Review,Set and determine project after action review (AAR) as well as review and evaluate success of strategic plan after action plans have been implemented,tsc,2024-12-16
FSS-PMT-4007-1.1,Food Services,Project Management,Project After Action Review,Set and determine project after action review (AAR) as well as review and evaluate success of strategic plan after action plans have been implemented,tsc,2024-12-16
FSS-PMT-3017-1.1,Food Services,Project Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
FSS-PMT-6017-1.1,Food Services,Project Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
FSS-PMT-5017-1.1,Food Services,Project Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
FSS-PMT-4017-1.1,Food Services,Project Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
FSS-PMT-2017-1.1,Food Services,Project Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc,2024-12-16
FSS-FRC-3006-1.1,Food Services,Quality Management,Food and Beverage Quality Audit and Compliance,Audit and assess the quality of food and beverages to ensure compliance,tsc,2024-12-16
FSS-FRC-5006-1.1,Food Services,Quality Management,Food and Beverage Quality Audit and Compliance,Audit and assess the quality of food and beverages to ensure compliance,tsc,2024-12-16
FSS-FRC-4006-1.1,Food Services,Quality Management,Food and Beverage Quality Audit and Compliance,Audit and assess the quality of food and beverages to ensure compliance,tsc,2024-12-16
FSS-FRC-2006-1.1,Food Services,Quality Management,Food and Beverage Quality Audit and Compliance,Audit and assess the quality of food and beverages to ensure compliance,tsc,2024-12-16
FSS-QUA-2013-1.1,Food Services,Quality Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,tsc,2024-12-16
FSS-QUA-5013-1.1,Food Services,Quality Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,tsc,2024-12-16
FSS-QUA-3013-1.1,Food Services,Quality Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,tsc,2024-12-16
FSS-QUA-4013-1.1,Food Services,Quality Management,Quality Assurance Management,Establish and implement quality assurance (QA) parameters and procedures to ensure compliance with the organisation's Quality Management System (QMS) requirements,tsc,2024-12-16
FSS-RIM-6018-1.1,Food Services,Quality Management,Risk Appetite and Goals Setting,Manage productive practices to allow for effective and efficient management of work by making changes for continuous improvements in the organisation,tsc,2024-12-16
FSS-RIM-5018-1.1,Food Services,Quality Management,Risk Appetite and Goals Setting,Manage productive practices to allow for effective and efficient management of work by making changes for continuous improvements in the organisation,tsc,2024-12-16
